Объем двигателя,Кол-во сидений,ускорение 0/100,Расход топлива
7.0,6,2.8528341311797965,14.370561016684029
3.0178978821390383,4,4.301239014623013,13.554116965151035
5.393327030140694,7,6.03152755452297,14.89615135096482
3.4794815890847075,5,7.855897099121159,12.593077872587948
3.1124808649994864,5,7.270656238324612,16.333605233427022
1.485305986768469,4,10.195930682308612,15.8831660290957
6.540218292818581,1,6.600857184400137,15.0
3.683706597395531,1,7.637907674108704,13.948543103508838
3.880101351264013,1,11.20547939014681,15.0
5.0898792017598895,6,2.0,18.251245425991787
2.5497649283716344,2,6.682879693834881,12.416435271905732
7.0,5,2.0,16.01957415730875
5.760392437207521,1,2.734785187287705,11.11692290021836
2.000620316382206,8,10.188951709842382,15.859190622935776
3.319404356171992,4,6.787357436545823,15.0
4.829256667344111,8,3.349954790749277,11.274049691069768
3.784108913651577,4,14.608454815229347,14.25097681764791
4.9687848642092645,4,13.983982226152015,15.859036685163776
5.966312334708864,3,10.0,16.761613263684335
5.703400947420823,2,14.476920383271692,16.506023560207375
6.718653404097111,6,10.0,13.89032305775611
3.1817198510452123,3,9.28755616237258,9.536065439395715
5.928777538345804,2,13.086775734193356,14.196000827042443
6.293697948893073,6,10.0,15.203801289219411
5.577162171470874,4,12.900796649164471,19.76993679950409
5.493994092617817,7,7.162361663325898,13.76289203247535
5.184330859174854,6,14.864176246279246,16.07971168993879
7.0,4,3.304496792818235,14.06945900877549
7.0,3,3.382348256896188,17.787731524662636
2.2782241609632026,5,4.430571813105599,15.0854035406133
5.521666814950224,6,6.997090043600124,14.446567970264422
6.096264994378162,4,3.7502333441899287,9.835274625394604
2.9626752067653843,6,12.943414196763364,14.95853771157989
4.721146591270897,2,2.0,9.227751003940485
6.719503378461625,1,4.665140927661877,13.534219766591493
5.791701994844341,7,2.0,15.0
4.751854919071003,4,4.452939866051982,15.579303806646513
6.0714066618245806,5,10.0,9.71601443138984
5.359659075161751,4,12.304412461680403,13.858163454996047
5.103674463844954,5,7.353035315383691,12.401320752610514
7.0,1,3.605834212563096,6.904914044471779
5.373969829136138,7,13.371636064873696,13.008400619199596
7.0,1,2.0,16.944575072574164
7.0,2,9.341050014651428,10.419830337520526
5.818038385485186,2,12.884843109234254,9.8097913683282
5.119348255919815,5,13.929903905630535,17.412345306640077
6.218762838671113,6,3.3241725515743203,12.265559081150723
5.282394961440369,6,4.426037837777878,14.830814240395496
7.0,4,6.858119733122265,12.723148502610943
7.0,4,10.0,16.157941497070894
6.069083651725585,8,7.529411062373764,17.604831908841053
7.0,3,4.091433681350669,14.0527046790288
7.0,2,3.8580674185236585,15.590230672343614
5.48088388264414,5,14.034119675909922,13.80686632078401
3.985873583807673,4,13.76817647910647,16.041020132338183
2.792589877838409,5,5.518858966530528,11.372397736207366
7.0,6,2.0,14.567907052163084
6.902408505240188,3,4.6996740841167295,19.81629117861793
4.998030192178542,3,7.261999741655667,10.404274102274204
6.688209847249851,8,12.247996141957236,15.0
6.119456752594466,5,6.094153858727916,16.12908021775586
5.279561955375751,4,2.0184098727739657,17.001431869644883
3.039224401665216,2,9.616945780300789,14.889226898972522
3.843244656717341,3,7.27344843574318,11.98885352248882
6.119499286721884,7,13.313749860436722,10.640841938197733
4.634112561923149,4,13.08341192148512,14.42282822315256
4.85941610746966,6,2.386672647125098,20.25667564003049
5.705425844491321,2,2.0,16.100455006633446
7.0,8,8.624704529178686,15.87344264544524
6.233375629272034,6,10.0,13.594611008393397
3.851274089406335,5,11.09621194252902,12.589327675239604
4.266946539723216,2,9.20324609523359,10.34360007278196
7.0,1,5.72554626510433,10.7976176321311
4.745696733808681,5,9.572088672212065,15.57102726953934
4.791040903834232,4,13.724516966088803,8.9966373991053
2.993356979289352,4,2.0,9.469321047734793
4.2165526838258005,2,8.021253360690373,17.247294107474637
5.051380583592724,1,5.414116754330863,8.299339689006132
7.0,7,9.88788480042803,15.967654672551584
4.246561756822165,5,3.5639521609646487,9.170426239099598
7.0,3,5.249344466114504,12.144669735155627
2.9892873673711104,1,2.0,15.0
4.334436033504543,7,5.960021312377777,15.012120550706683
7.0,4,13.697384890473838,18.249770836323844
4.305710795512477,1,10.966728769940117,15.328882656163916
2.179394884496757,3,12.4268059384739,16.656934382333073
4.136908969186049,4,2.0,13.752538263017671
4.129266342228517,6,7.039738131539634,15.48340790125821
3.243929369807897,4,11.14561129536137,18.849678149944644
5.288307114628158,4,3.173268848193716,14.13683409528872
4.787029744104382,6,14.423757799162118,12.053099245568852
4.490849359971274,5,10.0,19.70112069370566
6.257481696851802,4,10.420379428823797,19.677506599922676
7.0,3,3.2172752168155303,12.461040071427853
7.0,5,6.976993163441843,13.199769772983595
7.0,2,9.754137971164871,12.428531544419858
7.0,2,6.016403137313165,10.65895248274326
3.0250932643799398,7,8.249601908666332,15.0
6.639538934875679,7,2.0,13.697395062030324
7.0,4,11.405659300803116,13.784735491407456
7.0,1,9.59178745101872,12.745324916066274
3.350589224921231,6,2.0,16.073098215339673
7.0,7,8.325008696502326,16.471145167601215
3.877128969024048,3,2.0,13.711176201379011
6.089517854352004,4,2.0,17.232821711249382
5.060016773455335,4,11.845493969246878,14.283825452542477
4.1037743074111015,3,11.790848805914935,15.662912578577547
4.034394304619526,3,10.20443064130962,9.742980266711788
5.83356094229689,4,10.0,25.0
4.912051348415684,7,6.320663413502386,12.941363521570237
7.0,8,11.401123321578154,16.840393218798297
5.168587462204037,5,2.0,14.830845584728475
4.311789093214576,3,3.2884997648045364,15.720554491600383
5.7951639323582365,8,8.875727298329704,12.517172077558964
6.204373903212426,6,7.401587465942083,13.844822790358355
5.734456239790476,4,2.0,16.452717588296757
6.209071930818968,5,4.717584389376241,9.203246359341488
7.0,1,10.183684302880431,15.3921852801258
7.0,4,11.78897091255837,8.713651998369786
